frame,time_seconds,rank,frequency_hz,magnitude_db
0,0.000000,1,0.000,-180.000
0,0.000000,2,375.000,-180.000
0,0.000000,3,398.438,-180.000
0,0.000000,4,421.875,-180.000
0,0.000000,5,445.312,-180.000
0,0.000000,6,468.750,-180.000
0,0.000000,7,492.188,-180.000
0,0.000000,8,515.625,-180.000
1,0.002000,1,0.000,-180.000
1,0.002000,2,375.000,-180.000
1,0.002000,3,398.438,-180.000
1,0.002000,4,421.875,-180.000
1,0.002000,5,445.312,-180.000
1,0.002000,6,468.750,-180.000
1,0.002000,7,492.188,-180.000
1,0.002000,8,515.625,-180.000
2,0.004000,1,0.000,-180.000
2,0.004000,2,375.000,-180.000
2,0.004000,3,398.438,-180.000
2,0.004000,4,421.875,-180.000
2,0.004000,5,445.312,-180.000
2,0.004000,6,468.750,-180.000
2,0.004000,7,492.188,-180.000
2,0.004000,8,515.625,-180.000
3,0.006000,1,0.000,-180.000
3,0.006000,2,375.000,-180.000
3,0.006000,3,398.438,-180.000
3,0.006000,4,421.875,-180.000
3,0.006000,5,445.312,-180.000
3,0.006000,6,468.750,-180.000
3,0.006000,7,492.188,-180.000
3,0.006000,8,515.625,-180.000
4,0.008000,1,0.000,-180.000
4,0.008000,2,375.000,-180.000
4,0.008000,3,398.438,-180.000
4,0.008000,4,421.875,-180.000
4,0.008000,5,445.312,-180.000
4,0.008000,6,468.750,-180.000
4,0.008000,7,492.188,-180.000
4,0.008000,8,515.625,-180.000
5,0.010000,1,0.000,-180.000
5,0.010000,2,375.000,-180.000
5,0.010000,3,398.438,-180.000
5,0.010000,4,421.875,-180.000
5,0.010000,5,445.312,-180.000
5,0.010000,6,468.750,-180.000
5,0.010000,7,492.188,-180.000
5,0.010000,8,515.625,-180.000
6,0.012000,1,0.000,-180.000
6,0.012000,2,375.000,-180.000
6,0.012000,3,398.438,-180.000
6,0.012000,4,421.875,-180.000
6,0.012000,5,445.312,-180.000
6,0.012000,6,468.750,-180.000
6,0.012000,7,492.188,-180.000
6,0.012000,8,515.625,-180.000
7,0.014000,1,0.000,-180.000
7,0.014000,2,375.000,-180.000
7,0.014000,3,398.438,-180.000
7,0.014000,4,421.875,-180.000
7,0.014000,5,445.312,-180.000
7,0.014000,6,468.750,-180.000
7,0.014000,7,492.188,-180.000
7,0.014000,8,515.625,-180.000
8,0.016000,1,0.000,-180.000
8,0.016000,2,375.000,-180.000
8,0.016000,3,398.438,-180.000
8,0.016000,4,421.875,-180.000
8,0.016000,5,445.312,-180.000
8,0.016000,6,468.750,-180.000
8,0.016000,7,492.188,-180.000
8,0.016000,8,515.625,-180.000
9,0.018000,1,0.000,-180.000
9,0.018000,2,375.000,-180.000
9,0.018000,3,398.438,-180.000
9,0.018000,4,421.875,-180.000
9,0.018000,5,445.312,-180.000
9,0.018000,6,468.750,-180.000
9,0.018000,7,492.188,-180.000
9,0.018000,8,515.625,-180.000
10,0.020000,1,0.000,-180.000
10,0.020000,2,375.000,-180.000
10,0.020000,3,398.438,-180.000
10,0.020000,4,421.875,-180.000
10,0.020000,5,445.312,-180.000
10,0.020000,6,468.750,-180.000
10,0.020000,7,492.188,-180.000
10,0.020000,8,515.625,-180.000
11,0.022000,1,0.000,-180.000
11,0.022000,2,375.000,-180.000
11,0.022000,3,398.438,-180.000
11,0.022000,4,421.875,-180.000
11,0.022000,5,445.312,-180.000
11,0.022000,6,468.750,-180.000
11,0.022000,7,492.188,-180.000
11,0.022000,8,515.625,-180.000
12,0.024000,1,0.000,-180.000
12,0.024000,2,375.000,-180.000
12,0.024000,3,398.438,-180.000
12,0.024000,4,421.875,-180.000
12,0.024000,5,445.312,-180.000
12,0.024000,6,468.750,-180.000
12,0.024000,7,492.188,-180.000
12,0.024000,8,515.625,-180.000
13,0.026000,1,0.000,-180.000
13,0.026000,2,375.000,-180.000
13,0.026000,3,398.438,-180.000
13,0.026000,4,421.875,-180.000
13,0.026000,5,445.312,-180.000
13,0.026000,6,468.750,-180.000
13,0.026000,7,492.188,-180.000
13,0.026000,8,515.625,-180.000
14,0.028000,1,0.000,-180.000
14,0.028000,2,375.000,-180.000
14,0.028000,3,398.438,-180.000
14,0.028000,4,421.875,-180.000
14,0.028000,5,445.312,-180.000
14,0.028000,6,468.750,-180.000
14,0.028000,7,492.188,-180.000
14,0.028000,8,515.625,-180.000
15,0.030000,1,0.000,-180.000
15,0.030000,2,375.000,-180.000
15,0.030000,3,398.438,-180.000
15,0.030000,4,421.875,-180.000
15,0.030000,5,445.312,-180.000
15,0.030000,6,468.750,-180.000
15,0.030000,7,492.188,-180.000
15,0.030000,8,515.625,-180.000
16,0.032000,1,0.000,-180.000
16,0.032000,2,375.000,-180.000
16,0.032000,3,398.438,-180.000
16,0.032000,4,421.875,-180.000
16,0.032000,5,445.312,-180.000
16,0.032000,6,468.750,-180.000
16,0.032000,7,492.188,-180.000
16,0.032000,8,515.625,-180.000
17,0.034000,1,0.000,-180.000
17,0.034000,2,375.000,-180.000
17,0.034000,3,398.438,-180.000
17,0.034000,4,421.875,-180.000
17,0.034000,5,445.312,-180.000
17,0.034000,6,468.750,-180.000
17,0.034000,7,492.188,-180.000
17,0.034000,8,515.625,-180.000
18,0.036000,1,0.000,-180.000
18,0.036000,2,375.000,-180.000
18,0.036000,3,398.438,-180.000
18,0.036000,4,421.875,-180.000
18,0.036000,5,445.312,-180.000
18,0.036000,6,468.750,-180.000
