frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
0,0.000000,1.593668,3076.794,2692.164,-31.752064,8.175964,-0.307236,2.504348,1.510312,-4.137931,-1.100822,2.381470,0.412370,-1.454129,0.732228,0.562134,0.237575,1.204976,-2.139398,-0.717560,0.297558,0.736574,-0.266946,0.976802
1,0.002000,1.543856,3127.305,2752.007,-32.041702,7.860916,-0.240850,2.371366,1.209955,-4.162595,-0.889129,2.181227,0.341978,-1.092565,0.385779,0.195358,0.235725,1.271808,-2.728058,-0.808052,0.487583,0.552165,-0.284589,1.221436
2,0.004000,1.496113,3138.613,2803.611,-32.346535,7.676227,-0.014491,2.172995,0.873433,-4.084676,-0.748611,1.828934,0.206273,-0.635965,0.021619,-0.217510,0.230764,1.310804,-3.196912,-0.875609,0.722639,0.418268,-0.240054,1.486315
3,0.006000,1.457975,3104.609,2838.669,-32.613388,7.652888,0.349525,1.923665,0.538133,-3.901867,-0.693227,1.345654,-0.000154,-0.081695,-0.246814,-0.634307,0.219705,1.348974,-3.439728,-0.875931,0.967741,0.346069,-0.125469,1.772584
4,0.008000,1.436218,3028.104,2849.142,-32.815094,7.742097,0.757476,1.647848,0.233853,-3.688171,-0.720204,0.817582,-0.288856,0.483108,-0.345873,-1.027840,0.131485,1.371965,-3.384159,-0.814658,1.135691,0.356776,0.053601,1.990643
5,0.010000,1.434516,2922.450,2831.119,-32.933987,7.896914,1.153951,1.415148,-0.003208,-3.526173,-0.789921,0.370199,-0.640472,0.945907,-0.258960,-1.372866,-0.086859,1.363505,-3.031229,-0.738442,1.158992,0.480042,0.275477,2.034806
6,0.012000,1.451148,2809.114,2788.958,-32.987244,8.082632,1.523746,1.254505,-0.163245,-3.433071,-0.859843,0.065146,-1.000832,1.254400,-0.032642,-1.645206,-0.401003,1.320677,-2.466053,-0.665655,1.052187,0.697062,0.506796,1.907943
7,0.014000,1.479301,2709.226,2734.720,-32.989433,8.257549,1.810872,1.145385,-0.239171,-3.405896,-0.946419,-0.085771,-1.301216,1.369769,0.240191,-1.791005,-0.731418,1.214898,-1.811053,-0.568668,0.872282,0.943052,0.730791,1.708261
8,0.016000,1.510791,2634.394,2681.431,-32.910358,8.398228,1.926027,1.064857,-0.189483,-3.437860,-1.121111,-0.077530,-1.451264,1.250718,0.441157,-1.730700,-0.978190,0.989971,-1.203853,-0.391904,0.691662,1.114015,0.923612,1.576429
9,0.018000,1.539120,2585.978,2637.086,-32.763474,8.507822,1.877869,0.987373,-0.038024,-3.485030,-1.397762,0.031292,-1.432330,0.948255,0.525156,-1.490744,-1.099702,0.698791,-0.717131,-0.173283,0.557375,1.195182,1.051880,1.550328
