frame,time_seconds,rank,frequency_hz,magnitude_db
0,0.000000,1,1851.562,-27.731
0,0.000000,2,1875.000,-28.085
0,0.000000,3,1828.125,-28.118
0,0.000000,4,1382.812,-28.234
0,0.000000,5,1359.375,-28.415
0,0.000000,6,1406.250,-28.926
0,0.000000,7,1804.688,-29.054
0,0.000000,8,1898.438,-29.346
1,0.002000,1,1851.562,-22.428
1,0.002000,2,1875.000,-22.700
1,0.002000,3,1382.812,-22.827
1,0.002000,4,1828.125,-23.274
1,0.002000,5,1359.375,-23.395
1,0.002000,6,1406.250,-23.557
1,0.002000,7,1898.438,-23.990
1,0.002000,8,796.875,-24.531
2,0.004000,1,1851.562,-18.244
2,0.004000,2,1382.812,-18.487
2,0.004000,3,1875.000,-18.558
2,0.004000,4,1406.250,-19.260
2,0.004000,5,1359.375,-19.297
2,0.004000,6,1828.125,-19.308
2,0.004000,7,1898.438,-20.052
2,0.004000,8,796.875,-20.729
3,0.006000,1,1851.562,-15.074
3,0.006000,2,1382.812,-15.147
3,0.006000,3,1875.000,-15.297
3,0.006000,4,1406.250,-15.899
3,0.006000,5,1359.375,-16.054
3,0.006000,6,1828.125,-16.282
3,0.006000,7,1898.438,-16.879
3,0.006000,8,1687.500,-17.713
4,0.008000,1,1851.562,-12.688
4,0.008000,2,1382.812,-12.698
4,0.008000,3,1875.000,-12.704
4,0.008000,4,1359.375,-13.417
4,0.008000,5,1406.250,-13.446
4,0.008000,6,1828.125,-14.071
4,0.008000,7,1898.438,-14.291
4,0.008000,8,1687.500,-15.258
5,0.010000,1,1875.000,-10.693
5,0.010000,2,1851.562,-10.893
5,0.010000,3,1382.812,-10.905
5,0.010000,4,1359.375,-11.251
5,0.010000,5,1406.250,-11.798
5,0.010000,6,1898.438,-12.205
5,0.010000,7,1828.125,-12.467
5,0.010000,8,2039.062,-13.396
6,0.012000,1,1875.000,-9.347
6,0.012000,2,1382.812,-9.478
6,0.012000,3,1359.375,-9.558
6,0.012000,4,1851.562,-9.624
6,0.012000,5,1898.438,-10.420
6,0.012000,6,1406.250,-10.849
6,0.012000,7,1828.125,-11.107
6,0.012000,8,1710.938,-11.644
