frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
0,0.000000,5.483794,2013.128,1886.831,-12.021877,11.239698,-6.341425,5.139011,-0.278002,6.705568,-5.778369,3.118838,-0.100348,6.550457,-2.229928,3.099896,0.590064,4.965973,-3.184171,3.718120,-0.564242,4.045757,-2.397080,2.745482
1,0.002000,5.545522,1921.270,1839.620,-11.945901,11.266471,-6.247646,5.092488,-0.147157,6.498057,-5.754333,3.229317,0.031302,6.639933,-2.015173,3.138733,0.541994,5.139753,-3.260210,3.589745,-0.502935,4.032897,-2.318233,2.899031
2,0.004000,5.623947,1862.250,1798.168,-11.883513,11.305397,-6.241425,4.980608,0.023024,6.344769,-5.800558,3.275233,0.099895,6.728995,-1.874627,3.192228,0.564639,5.410064,-3.288953,3.441242,-0.409881,4.119560,-2.183052,3.006735
3,0.006000,5.713291,1834.503,1767.204,-11.814999,11.360478,-6.339769,4.813944,0.233577,6.285343,-5.890689,3.251884,0.113552,6.795472,-1.827240,3.240701,0.641935,5.737742,-3.280347,3.262991,-0.303202,4.326952,-1.983643,3.060034
4,0.008000,5.804423,1828.421,1746.370,-11.742569,11.422176,-6.514266,4.642101,0.464049,6.335888,-5.976628,3.189160,0.100529,6.826495,-1.865591,3.288850,0.742215,6.061012,-3.249200,3.041952,-0.221656,4.613659,-1.758128,3.060896
5,0.010000,5.887746,1832.081,1732.445,-11.673971,11.478017,-6.712994,4.525625,0.682836,6.495333,-6.009930,3.133785,0.098775,6.825405,-1.965652,3.345921,0.832362,6.324142,-3.204951,2.774673,-0.201063,4.899885,-1.578444,3.008302
6,0.012000,5.955870,1835.373,1721.892,-11.618122,11.510435,-6.907230,4.484092,0.841540,6.735890,-5.971270,3.120483,0.133381,6.805339,-2.096744,3.408596,0.899376,6.507922,-3.140346,2.487624,-0.251286,5.112680,-1.506396,2.904194
7,0.014000,6.004531,1831.437,1711.984,-11.587671,11.503770,-7.097227,4.492185,0.888503,7.007156,-5.871191,3.165362,0.207920,6.780632,-2.225607,3.461810,0.955715,6.628030,-3.040169,2.236332,-0.354702,5.214919,-1.561461,2.754792
8,0.016000,6.032386,1816.145,1700.711,-11.597967,11.450912,-7.290819,4.519363,0.802273,7.260683,-5.731421,3.274335,0.316911,6.763889,-2.321829,3.496207,1.027098,6.704027,-2.909826,2.070459,-0.487969,5.197599,-1.726659,2.567951
9,0.018000,6.040672,1787.377,1686.427,-11.671503,11.343805,-7.493259,4.549451,0.601268,7.467496,-5.568436,3.443970,0.450697,6.761804,-2.367264,3.518648,1.133980,6.743384,-2.774545,2.013476,-0.627647,5.074234,-1.963909,2.362009
