frame,time_seconds,rank,frequency_hz,magnitude_db
0,0.000000,1,4148.438,9.850
0,0.000000,2,4171.875,9.359
0,0.000000,3,4125.000,8.711
0,0.000000,4,4195.312,7.201
0,0.000000,5,4101.562,6.386
0,0.000000,6,4218.750,4.221
0,0.000000,7,4078.125,3.991
0,0.000000,8,4453.125,2.582
1,0.002000,1,4148.438,12.430
1,0.002000,2,4171.875,11.829
1,0.002000,3,4125.000,10.621
1,0.002000,4,4195.312,8.568
1,0.002000,5,4101.562,7.365
1,0.002000,6,4078.125,5.361
1,0.002000,7,4453.125,4.773
1,0.002000,8,4218.750,4.542
2,0.004000,1,4148.438,14.640
2,0.004000,2,4171.875,13.992
2,0.004000,3,4125.000,11.928
2,0.004000,4,4195.312,9.351
2,0.004000,5,4101.562,7.523
2,0.004000,6,4078.125,6.701
2,0.004000,7,4453.125,6.461
2,0.004000,8,4242.188,6.225
3,0.006000,1,4148.438,16.524
3,0.006000,2,4171.875,15.884
3,0.006000,3,4125.000,12.722
3,0.006000,4,4195.312,9.729
3,0.006000,5,4242.188,8.023
3,0.006000,6,4078.125,7.930
3,0.006000,7,4453.125,7.744
3,0.006000,8,4476.562,7.230
4,0.008000,1,4148.438,18.106
4,0.008000,2,4171.875,17.517
4,0.008000,3,4125.000,13.121
4,0.008000,4,4195.312,9.998
4,0.008000,5,4242.188,9.332
4,0.008000,6,4078.125,8.869
4,0.008000,7,4453.125,8.638
4,0.008000,8,4476.562,8.421
5,0.010000,1,4148.438,19.401
5,0.010000,2,4171.875,18.886
5,0.010000,3,4125.000,13.279
5,0.010000,4,4195.312,10.555
5,0.010000,5,4242.188,10.189
5,0.010000,6,4078.125,9.446
5,0.010000,7,4476.562,9.292
5,0.010000,8,4453.125,9.187
6,0.012000,1,4148.438,20.420
6,0.012000,2,4171.875,19.994
6,0.012000,3,4125.000,13.374
6,0.012000,4,4195.312,11.564
6,0.012000,5,4242.188,10.663
6,0.012000,6,4476.562,9.851
6,0.012000,7,4078.125,9.680
6,0.012000,8,4453.125,9.447
7,0.014000,1,4148.438,21.193
7,0.014000,2,4171.875,20.814
7,0.014000,3,4125.000,13.566
7,0.014000,4,4195.312,12.907
7,0.014000,5,4242.188,10.735
7,0.014000,6,4476.562,10.065
7,0.014000,7,4078.125,9.544
7,0.014000,8,4453.125,9.486
8,0.016000,1,4148.438,21.773
8,0.016000,2,4171.875,21.275
8,0.016000,3,4195.312,14.359
8,0.016000,4,4125.000,13.990
8,0.016000,5,4242.188,10.185
8,0.016000,6,4218.750,10.160
8,0.016000,7,4476.562,9.968
8,0.016000,8,4453.125,9.258
9,0.018000,1,4148.438,22.176
9,0.018000,2,4171.875,21.325
9,0.018000,3,4195.312,15.728
9,0.018000,4,4125.000,14.820
9,0.018000,5,4218.750,11.589
9,0.018000,6,4476.562,9.557
9,0.018000,7,4242.188,8.834
9,0.018000,8,4453.125,8.760
10,0.020000,1,4148.438,22.405
10,0.020000,2,4171.875,20.907
10,0.020000,3,4195.312,16.940
10,0.020000,4,4125.000,16.083
10,0.020000,5,4218.750,12.582
10,0.020000,6,4476.562,8.812
10,0.020000,7,4265.625,8.259
10,0.020000,8,4453.125,7.981
11,0.022000,1,4148.438,22.481
11,0.022000,2,4171.875,19.916
11,0.022000,3,4195.312,17.964
11,0.022000,4,4125.000,17.545
11,0.022000,5,4218.750,13.157
11,0.022000,6,4078.125,8.313
11,0.022000,7,4476.562,7.684
11,0.022000,8,4265.625,7.402
12,0.024000,1,4148.438,22.452
12,0.024000,2,4125.000,18.917
12,0.024000,3,4195.312,18.796
12,0.024000,4,4171.875,18.144
12,0.024000,5,4218.750,13.377
12,0.024000,6,4078.125,9.411
12,0.024000,7,4054.688,8.363
12,0.024000,8,4031.250,6.588
13,0.026000,1,4148.438,22.401
13,0.026000,2,4125.000,20.010
13,0.026000,3,4195.312,19.449
13,0.026000,4,4171.875,15.089
13,0.026000,5,4218.750,13.310
13,0.026000,6,4078.125,10.675
13,0.026000,7,4054.688,10.613
13,0.026000,8,4031.250,8.199
14,0.028000,1,4148.438,22.405
14,0.028000,2,4125.000,20.737
14,0.028000,3,4195.312,19.921
14,0.028000,4,4218.750,13.089
14,0.028000,5,4054.688,12.370
14,0.028000,6,4078.125,11.973
14,0.028000,7,4101.562,10.175
14,0.028000,8,4031.250,9.509
15,0.030000,1,4148.438,22.516
15,0.030000,2,4125.000,21.078
15,0.030000,3,4195.312,20.197
15,0.030000,4,4054.688,13.621
15,0.030000,5,4078.125,13.218
15,0.030000,6,4218.750,12.890
15,0.030000,7,4101.562,12.065
15,0.030000,8,4031.250,10.462
16,0.032000,1,4148.438,22.727
16,0.032000,2,4125.000,21.055
16,0.032000,3,4195.312,20.277
16,0.032000,4,4054.688,14.424
16,0.032000,5,4078.125,14.296
16,0.032000,6,4101.562,13.357
16,0.032000,7,4218.750,12.842
16,0.032000,8,4171.875,11.675
17,0.034000,1,4148.438,22.988
17,0.034000,2,4125.000,20.716
17,0.034000,3,4195.312,20.191
17,0.034000,4,4171.875,16.543
17,0.034000,5,4078.125,15.180
17,0.034000,6,4054.688,14.804
17,0.034000,7,4101.562,14.048
17,0.034000,8,4218.750,12.933
18,0.036000,1,4148.438,23.242
18,0.036000,2,4125.000,20.128
18,0.036000,3,4195.312,19.975
18,0.036000,4,4171.875,19.225
18,0.036000,5,4078.125,15.895
18,0.036000,6,4054.688,14.724
18,0.036000,7,4101.562,14.151
18,0.036000,8,4218.750,13.068
19,0.038000,1,4148.438,23.449
19,0.038000,2,4171.875,20.734
19,0.038000,3,4195.312,19.664
19,0.038000,4,4125.000,19.375
19,0.038000,5,4078.125,16.406
19,0.038000,6,4054.688,14.185
19,0.038000,7,4101.562,13.725
19,0.038000,8,4218.750,13.126
20,0.040000,1,4148.438,23.579
20,0.040000,2,4171.875,21.424
20,0.040000,3,4195.312,19.277
20,0.040000,4,4125.000,18.592
20,0.040000,5,4078.125,16.667
20,0.040000,6,4054.688,13.211
20,0.040000,7,4218.750,13.066
20,0.040000,8,4101.562,12.879
21,0.042000,1,4148.438,23.604
21,0.042000,2,4171.875,21.425
21,0.042000,3,4195.312,18.850
21,0.042000,4,4125.000,17.978
21,0.042000,5,4078.125,16.588
21,0.042000,6,4218.750,12.812
21,0.042000,7,4101.562,11.958
21,0.042000,8,4054.688,11.902
22,0.044000,1,4148.438,23.513
22,0.044000,2,4171.875,20.758
22,0.044000,3,4195.312,18.387
22,0.044000,4,4125.000,17.753
22,0.044000,5,4078.125,16.107
22,0.044000,6,4218.750,12.299
22,0.044000,7,4101.562,11.444
22,0.044000,8,4359.375,10.757
23,0.046000,1,4148.438,23.291
23,0.046000,2,4171.875,19.376
23,0.046000,3,4125.000,18.036
23,0.046000,4,4195.312,17.839
23,0.046000,5,4078.125,15.230
23,0.046000,6,4218.750,11.501
23,0.046000,7,4101.562,11.428
23,0.046000,8,4359.375,10.095
24,0.048000,1,4148.438,22.927
24,0.048000,2,4125.000,18.716
24,0.048000,3,4195.312,17.144
24,0.048000,4,4171.875,17.129
24,0.048000,5,4078.125,14.043
24,0.048000,6,4101.562,11.469
24,0.048000,7,4218.750,10.403
24,0.048000,8,4359.375,9.333
25,0.050000,1,4148.438,22.439
25,0.050000,2,4125.000,19.504
25,0.050000,3,4195.312,16.307
25,0.050000,4,4171.875,13.549
25,0.050000,5,4078.125,12.688
25,0.050000,6,4101.562,11.201
25,0.050000,7,4054.688,9.265
25,0.050000,8,4218.750,8.903
26,0.052000,1,4148.438,21.861
26,0.052000,2,4125.000,20.130
26,0.052000,3,4195.312,15.411
26,0.052000,4,4078.125,11.458
26,0.052000,5,4054.688,10.759
26,0.052000,6,4101.562,10.613
26,0.052000,7,4429.688,9.046
26,0.052000,8,4359.375,7.695
27,0.054000,1,4148.438,21.239
27,0.054000,2,4125.000,20.427
27,0.054000,3,4195.312,14.548
27,0.054000,4,4054.688,12.090
27,0.054000,5,4078.125,10.926
27,0.054000,6,4101.562,10.097
27,0.054000,7,4429.688,9.485
27,0.054000,8,4476.562,7.934
28,0.056000,1,4148.438,20.585
28,0.056000,2,4125.000,20.329
28,0.056000,3,4195.312,13.864
28,0.056000,4,4054.688,12.941
28,0.056000,5,4078.125,11.360
28,0.056000,6,4101.562,10.438
28,0.056000,7,4429.688,9.576
28,0.056000,8,4171.875,9.437
29,0.058000,1,4125.000,19.858
29,0.058000,2,4148.438,19.823
29,0.058000,3,4171.875,13.910
29,0.058000,4,4195.312,13.591
29,0.058000,5,4054.688,13.391
29,0.058000,6,4078.125,12.128
29,0.058000,7,4101.562,11.845
29,0.058000,8,4429.688,9.382
30,0.060000,1,4125.000,19.086
30,0.060000,2,4148.438,18.817
30,0.060000,3,4171.875,16.461
30,0.060000,4,4195.312,13.833
30,0.060000,5,4054.688,13.605
30,0.060000,6,4101.562,13.552
30,0.060000,7,4078.125,12.678
30,0.060000,8,4406.250,8.839
31,0.062000,1,4125.000,18.126
31,0.062000,2,4171.875,18.078
31,0.062000,3,4148.438,17.387
31,0.062000,4,4101.562,14.884
31,0.062000,5,4195.312,14.462
31,0.062000,6,4054.688,13.569
31,0.062000,7,4078.125,12.979
31,0.062000,8,4406.250,9.182
32,0.064000,1,4171.875,19.152
32,0.064000,2,4125.000,17.095
32,0.064000,3,4101.562,15.620
32,0.064000,4,4195.312,15.304
32,0.064000,5,4148.438,15.266
32,0.064000,6,4078.125,13.246
32,0.064000,7,4054.688,13.074
32,0.064000,8,4406.250,9.480
33,0.066000,1,4171.875,19.853
33,0.066000,2,4195.312,16.232
33,0.066000,3,4125.000,16.049
33,0.066000,4,4101.562,15.763
33,0.066000,5,4078.125,13.466
33,0.066000,6,4148.438,12.102
33,0.066000,7,4054.688,12.035
33,0.066000,8,4406.250,9.649
34,0.068000,1,4171.875,20.284
34,0.068000,2,4195.312,17.133
34,0.068000,3,4101.562,15.337
34,0.068000,4,4125.000,15.009
34,0.068000,5,4078.125,13.480
34,0.068000,6,4054.688,10.482
34,0.068000,7,4406.250,9.760
34,0.068000,8,4031.250,8.579
35,0.070000,1,4171.875,20.490
35,0.070000,2,4195.312,17.950
35,0.070000,3,4101.562,14.296
35,0.070000,4,4125.000,14.015
35,0.070000,5,4078.125,13.232
35,0.070000,6,4406.250,9.836
35,0.070000,7,4031.250,8.612
35,0.070000,8,4054.688,8.371
36,0.072000,1,4171.875,20.501
36,0.072000,2,4195.312,18.611
36,0.072000,3,4125.000,13.115
36,0.072000,4,4078.125,12.726
36,0.072000,5,4101.562,12.579
36,0.072000,6,4148.438,10.385
36,0.072000,7,4406.250,9.918
36,0.072000,8,4382.812,8.714
37,0.074000,1,4171.875,20.336
37,0.074000,2,4195.312,19.043
37,0.074000,3,4148.438,13.502
37,0.074000,4,4125.000,12.310
37,0.074000,5,4078.125,12.020
37,0.074000,6,4101.562,10.193
37,0.074000,7,4406.250,10.022
37,0.074000,8,4382.812,9.456
38,0.076000,1,4171.875,19.984
38,0.076000,2,4195.312,19.197
38,0.076000,3,4148.438,15.499
38,0.076000,4,4125.000,11.616
38,0.076000,5,4078.125,11.258
38,0.076000,6,4218.750,10.240
38,0.076000,7,4406.250,10.203
38,0.076000,8,4382.812,9.587
39,0.078000,1,4171.875,19.415
39,0.078000,2,4195.312,19.048
39,0.078000,3,4148.438,16.688
39,0.078000,4,4218.750,12.321
39,0.078000,5,4125.000,11.135
39,0.078000,6,4078.125,10.604
39,0.078000,7,4406.250,10.382
39,0.078000,8,4382.812,9.215
40,0.080000,1,4171.875,18.625
40,0.080000,2,4195.312,18.546
40,0.080000,3,4148.438,17.212
40,0.080000,4,4218.750,14.128
40,0.080000,5,4125.000,11.063
40,0.080000,6,4406.250,10.513
40,0.080000,7,4242.188,10.144
40,0.080000,8,4078.125,10.094
41,0.082000,1,4195.312,17.657
41,0.082000,2,4171.875,17.625
41,0.082000,3,4148.438,17.120
41,0.082000,4,4218.750,15.585
41,0.082000,5,4242.188,11.777
41,0.082000,6,4125.000,11.442
41,0.082000,7,4265.625,10.560
41,0.082000,8,4406.250,10.511
42,0.084000,1,4218.750,16.672
42,0.084000,2,4171.875,16.443
42,0.084000,3,4148.438,16.427
42,0.084000,4,4195.312,16.385
42,0.084000,5,4242.188,12.788
42,0.084000,6,4125.000,12.054
42,0.084000,7,4265.625,10.939
42,0.084000,8,4406.250,10.326
43,0.086000,1,4218.750,17.392
43,0.086000,2,4171.875,15.210
43,0.086000,3,4148.438,15.102
43,0.086000,4,4195.312,14.848
43,0.086000,5,4242.188,13.305
43,0.086000,6,4125.000,12.668
43,0.086000,7,4101.562,11.171
43,0.086000,8,4265.625,11.041
44,0.088000,1,4218.750,17.763
44,0.088000,2,4171.875,14.303
44,0.088000,3,4195.312,13.497
44,0.088000,4,4242.188,13.344
